1A 1
1B 1
1C 1
1D 1
1E 1
1F 1
2A 1
2B 1
2C 1
2D 1
2E 1
2F 1
3A 1
3B 1
3C 1
3D 1
3E 1
3F 1
4A 1
4B 1
4C 1
4D 1
4E 1
4F 1
5A 1
5B 1
5C 1
5D 1
5E 1
5F 1
6A 1
6B 1
6C 1
6D 1
6E 1
6F 1
7A 1
7B 1
7C 1
7D 1
7E 1
7F 1
8A 1
8B 1
8C 1
8D 1
8E 1
8F 1
9A 1
9B 1
9C 1
9D 1
9E 1
9F 1
10A 1
10B 1
10C 1
10D 1
10E 1
10F 1
11A 1
11B 1
11C 1
11D 1
11E 1
11F 1
12A 1
12B 1
12C 1
12D 1
12E 1
12F 1
13A 1
13B 1
13C 1
13D 1
13E 1
13F 1
14A 1
14B 1
14C 1
14D 1
14E 1
14F 1
15A 1
15B 1
15C 1
15D 1
15E 1
15F 1
16A 1
16B 1
16C 1
16D 1
16E 1
16F 1
17A 1
17B 1
17C 1
17D 1
17E 1
17F 1
18A 1
18B 1
18C 1
18D 1
18E 1
18F 1
19A 1
19B 1
19C 1
19D 1
19E 1
19F 1
20A 1
20B 1
20C 1
20D 1
20E 1
20F 1
21A 1
21B 1
21C 1
21D 1
21E 1
21F 1
22A 1
22B 1
22C 1
22D 1
22E 1
22F 1
23A 1
23B 1
23C 1
23D 1
23E 1
23F 1
24A 1
24B 1
24C 1
24D 1
24E 1
24F 1
25A 1
25B 1
25C 1
25D 1
25E 1
25F 1
26A 1
26B 1
26C 1
26D 1
26E 1
26F 1
27A 1
27B 1
27C 1
27D 1
27E 1
27F 1
28A 1
28B 1
28C 1
28D 1
28E 1
28F 1
29A 1
29B 1
29C 1
29D 1
29E 1
29F 1
30A 1
30B 1
30C 1
30D 1
30E 1
30F 1
31A 1
31B 1
31C 1
31D 1
31E 1
31F 1
32A 1
32B 1
32C 1
32D 1
32E 1
32F 1
33A 1
33B 1
33C 1
33D 1
33E 1
33F 1
34A 1
34B 1
34C 1
34D 1
34E 1
34F 1
35A 1
35B 1
35C 1
35D 1
35E 1
35F 1
36A 1
36B 1
36C 1
36D 1
36E 1
36F 1
37A 1
37B 1
37C 1
37D 1
37E 1
37F 1
38A 1
38B 1
38C 1
38D 1
38E 1
38F 1
39A 1
39B 1
39C 1
39D 1
39E 1
39F 1
40A 1
40B 1
40C 1
40D 1
40E 1
40F 1
41A 1
41B 1
41C 1
41D 1
41E 1
41F 1
42A 1
42B 1
42C 1
42D 1
42E 1
42F 1
43A 1
43B 1
43C 1
43D 1
43E 1
43F 1
44A 1
44B 1
44C 1
44D 1
44E 1
44F 1
45A 1
45B 1
45C 1
45D 1
45E 1
45F 1
46A 1
46B 1
46C 1
46D 1
46E 1
46F 1
47A 1
47B 1
47C 1
47D 1
47E 1
47F 1
48A 1
48B 1
48C 1
48D 1
48E 1
48F 1
49A 1
49B 1
49C 1
49D 1
49E 1
49F 1
50A 1
50B 1
50C 1
50D 1
50E 0
50F 1
51A 1
51B 1
51C 1
51D 0
51E 1
51F 1
